"symbol_mm","symbol_hs"
"Apbb1ip","APBB1IP"
"Pdss1","PDSS1"
"Abi1","ABI1"
"Acbd5","ACBD5"
"Mastl","MASTL"
"Yme1l1","YME1L1"
"Spopl","SPOPL"
"Hnmt","HNMT"
"Il1rn","IL1RN"
"Psd4","PSD4"
"Cacna1b","CACNA1B"
"Ehmt1","EHMT1"
"Arrdc1","ARRDC1"
"Zmynd19","ZMYND19"
"Dph7","DPH7"
"Mrpl41","MRPL41"
"Pnpla7","PNPLA7"
"Nsmf","NSMF"
"Entpd8","ENTPD8"
"Noxa1","NOXA1"
"Nrarp","NRARP"
"Tor4a","TOR4A"
"Nelfb","NELFB"
"Fam166a","FAM166A"
"Tubb4b","TUBB4B"
"Cysrt1","CYSRT1"
"Rnf208","RNF208"
"Ndor1","NDOR1"
"Tmem203","TMEM203"
"Tprn","TPRN"
"Ssna1","SSNA1"
"Anapc2","ANAPC2"
"Lrrc26","LRRC26"
"Grin1","GRIN1"
"Man1b1","MAN1B1"
"Dpp7","DPP7"
"Uap1l1","UAP1L1"
"Sapcd2","SAPCD2"
"Entpd2","ENTPD2"
"Npdc1","NPDC1"
"Fut7","FUT7"
"Abca2","ABCA2"
"Paxx","PAXX"
"Clic3","CLIC3"
"Ptgds","PTGDS"
"C8g","C8G"
"Fbxw5","FBXW5"
"Traf2","TRAF2"
"Edf1","EDF1"
"Mamdc4","MAMDC4"
"Phpt1","PHPT1"
"Ajm1","AJM1"
"Rabl6","RABL6"
"Tmem141","TMEM141"
"Kcnt1","KCNT1"
"Camsap1","CAMSAP1"
"Ubac1","UBAC1"
"Nacc2","NACC2"
"Tmem250-ps","TMEM250"
"Qsox2","QSOX2"
"Ccdc187","CCDC187"
"Gpsm1","GPSM1"
"Dnlz","DNLZ"
"Card9","CARD9"
"Snapc4","SNAPC4"
"Entr1","ENTR1"
"Pmpca","PMPCA"
"Inpp5e","INPP5E"
"Sec16a","SEC16A"
"Notch1","NOTCH1"
"Egfl7","EGFL7"
"Agpat2","AGPAT2"
"Dipk1b","DIPK1B"
"Surf6","SURF6"
"Med22","MED22"
"Surf1","SURF1"
"Surf2","SURF2"
"Surf4","SURF4"
"Stkld1","STKLD1"
"Rexo4","REXO4"
"Adamts13","ADAMTS13"
"Cacfd1","CACFD1"
